SITE_ID;Ecoregions;YEAR;XFC_NAT_ALG_AQM;SumNat_PFC;FishTotalDensity;RegionalFishTotalLBCD;RegionalFishReplLBCD;RegionalFishRichLBCD;Fish_RarefiedChaoRichness;ObservedFishRichness;InvasiveFishDensity;RatioInvasiveDensity;RiparianPresent;SDDEPTH_CM;CatchmentsArea;MeanAnnualTemperature;MeanPrecipitation;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
FW08VT005;NAP;2008;0.281818182;4.545454546;125;0.001607923;0.00120324;0.002056965;3;3;1;0.333333333;0.818181818;15.59993525;11.7306;4.473312;1513.696;0;0.2014731;0.5404454;0;15.04605
FW08VT006;NAP;2008;1.895454544;4.727272727;327;0.001422806;0.001919012;0.000872211;17.486;13;0;0;1;152.2093189;16201.38;5.577519;1232.023;0.4623385;1.321942;1.473104;0.1747907;18.02456
FW08VT007;NAP;2008;0.177272728;2.818181818;225;0.001503366;0.001992206;0.000960943;11.987;9;0;0;0.909090909;26.99022457;165.9285;4.684503;1449.797;0.01139045;0.3456459;0.7595935;0.02223849;3.141152
FW08VT008;NAP;2008;0.300000001;3.090909092;28;0.001647801;0.001304705;0.002028504;3;3;0;0;1;6.412078249;4.6998;6.167791;1410.75;0;0.117005;0.9157873;0;10.24605
FW08VT009;NAP;2008;0.670454545;2.727272727;74;0.001482047;0.000869099;0.002052569;8.247;8;18;0.25;0.772727273;78.91578186;612.7542;4.9493;1430.29;0.08753918;0.4294913;0.9298096;0.03157873;6.539474
FW08VT010;NAP;2008;0.348214286;3.07142857;209;0.001444992;0.001896221;0.000944302;12.986;10;1;0.1;1;9.851373141;13.104;4.394212;1693.607;0;6.922871;3.277488;1.016484;7.189769
FW08VT011;NAP;2008;0.451818182;1.545454547;510;0.001398768;0.001772959;0.00098356;29.475;17;0;0;0.818181818;240.8423769;2701.183;5.638202;1217.225;0.5700503;2.052341;1.620088;0.379867;37.12061
FW08VT013;NAP;2008;0.277272728;1.454545456;169;0.001462881;0.001989844;0.000878155;13.166;13;55;0.153846154;0.909090909;243.3405221;1581.007;5.319058;1295.119;0.2674941;0.9843409;1.336687;0.08635638;12.63621
FW08VT014;NAP;2008;0.338636363;1.554545455;841;0.001420307;0.001892613;0.00089623;14;14;1;0.071428571;0.863636364;583.9279999;2483.311;5.538826;1230.129;0.4358094;1.636639;1.55628;0.2478949;30.19269
FW08VT016;NAP;2008;0.115;1.136363637;74;0.000815582;0.001831686;0.001254733;6;6;24;0.333333333;0.727272727;170.9192331;1839.627;5.410332;1275.122;0.2392822;1.074099;1.432349;0.09500839;13.52142
FW08VT018;NAP;2008;0.479545454;2.090909092;339;0.001422669;0.001885203;0.000909436;17.988;14;5;0.071428571;1;445.2153738;1737.017;5.513067;1202.023;0.3950738;1.770277;1.635409;0.2978209;32.82503
FW08VT022;NAP;2008;0.703181819;1.472727273;26;0.001091965;0.001666848;0.001297912;10.327;6;46;0.166666667;0.954545455;21.31214857;1043.316;5.836876;1465.957;0.01483731;0.8311609;1.398785;0.04778993;9.888211
FW08WA005;WMT;2008;0.186363637;1.909090909;1;0.000771643;1.53E-05;0.00348253;1;1;0;0;0.952380952;25.95033913;33.7581;5.822822;1965.367;0;0.01245035;0.01426989;0;0.02722877
FW08WA006;WMT;2008;0.670000001;4.545454545;5;0.001642725;0.0020153;0.00348253;1;1;0;0;0.727272727;9.799606099;21.2742;4.566609;844.7212;0;0.2583975;0.137297;0.2369067;1.748138
FW08WA007;WMT;2008;0.525000002;3.545454546;38;0.001642837;0.001861676;0.001400011;5.487;5;0;0;0.954545455;17.20929981;155.385;6.16202;812.1078;0;0.8009615;1.866424;0.06139589;3.51605
FW08WA028;XER;2008;0.8925;2.9;20;0.001681747;5.80E-05;0.003483456;1;1;0;0;0.047619048;13.39506027;11.826;9.807262;163.9679;0;0.6233638;0.6482362;0;0.5400193
FW08WA029;WMT;2008;0.040909091;0.818181818;18;0.000816804;0.000862246;0.002588165;2;2;0;0;0.090909091;37.32298318;1395.991;6.039453;2697.893;0.04022949;0.2547577;0.7449177;0.01334536;0.9600427
FW08WA033;WMT;2008;0.177272728;1.727272728;29;0.000771674;0.00084592;0.002593715;2;2;0;0;0.363636364;156.972;1612.166;7.86862;2553.652;0.06140809;1.299642;2.400815;0.1228162;31.75109
FW08WA035;XER;2008;0.220454546;2.363636364;15;0.001649594;0.002065058;0.001188591;8.8;6;0;0;0.727272727;39.37542444;3864.818;4.072593;767.1147;0.01751182;0.5525017;0.6569065;0.04771506;1.149921
FW08WA040;WMT;2008;0.4425;1.6;9;0.000771687;0.0008788;0.002584555;2;2;2;0.5;0.4;77.60317899;10123;6.429305;969.1565;0.9983663;1.006474;1.351648;0.1260249;16.41986
FW08WI021;UMW;2008;0.429545455;2.181818183;495;0.001393349;0.00176045;0.00098601;22.158;18;14;0.055555556;1;143.8798974;114617.3;6.036234;700.7239;40.40692;1.944258;1.608391;0.4100191;36.37376
FW08WI022;UMW;2008;0.200454545;1.190909092;289;0.001344414;0.001181266;0.001525446;27.594;26;10;0.038461538;NA;38.72657324;1409.495;6.798656;808.5475;30.95167;0.8956029;1.359056;0.08773353;13.99729
FW08WI029;UMW;2008;0.375;1.3;850;0.001300432;0.001449678;0.001134827;24.495;20;5;0.05;0.681818182;263.9424715;210838.8;6.315461;730.9893;36.15105;1.682259;1.537241;0.3113341;28.95621
FW08WI030;UMW;2008;0.279545454;1.272727273;782;0.000771399;0.001199102;0.001621486;40.234;28;10;0.035714286;0.454545455;70.89952042;23924.14;6.118671;743.3605;24.21881;1.373746;1.511002;0.2242463;21.60456
FW08WI033;UMW;2008;0.225;2.090909092;561;0.001323423;0.001211202;0.001447945;29.159;25;0;0;0.727272727;114.3821741;161066.8;6.119562;704.5926;37.78291;1.769487;1.559433;0.3524347;32.19013
FW08WI034;UMW;2008;1.128181818;3.2;154;0.001441729;0.001954116;0.000873178;15.49;14;42;0.071428571;0.909090909;87.73807439;7891.59;4.710548;653.1193;5.468571;0.7349914;1.345294;0.09744044;11.75028
FW08WI036;UMW;2008;0.565681817;2.772727273;672;0.001417395;0.001872877;0.000911986;15.25;15;0;0;1;69.62863563;1535.71;4.942325;680.8967;3.363741;0.3710559;1.115607;0.02496566;4.63505
FW08WI040;UMW;2008;0.263863637;2.50909091;501;0.001476736;0.001840583;0.001073006;22.994;20;0;0;1;99.54201945;3037.774;4.842136;624.3912;1.485377;0.3517221;1.236681;0.02432373;3.282053
FW08WI041;UMW;2008;0.579545455;2.454545454;208;0.001380739;0.001792591;0.000923744;12;12;15;0.166666667;0.952380952;16.70062547;1002.028;8.101325;1093.828;52.20251;1.376834;1.411237;0.1367926;13.74326
FW08WI044;TPL;2008;0.316363637;1.836363637;354;0.001383032;0.0015289;0.001221176;25.989;22;150;0.045454545;0.909090909;66.37772156;5892.476;8.031391;930.0377;53.96162;3.001245;1.844744;0.4597541;55.10984
FW08WI046;UMW;2008;0.111363637;0.90909091;559;0.00143987;0.001936353;0.000888965;20.989;15;1;0.066666667;0.590909091;57.19106733;20613.28;5.851067;725.4765;22.72149;1.315429;1.480755;0.2243966;20.82238
FW08WI048;UMW;2008;0.888636363;2.90909091;595;0.001305843;0.001339238;0.001268787;27.99;22;3;0.090909091;0.681818182;52.61485752;2523.27;6.012594;725.5448;20.01243;0.7307337;1.422295;0.08267844;9.610309
FW08WI049;UMW;2008;1.156818181;3.272727272;535;0.001327479;0.001013923;0.001675405;42.972;28;2;0.035714286;0.818181818;157.4624201;166919.9;6.160919;708.732;37.93843;1.775714;1.560111;0.350048;31.99578
FW08WI050;UMW;2008;0.529318182;1.972727273;514;0.001389998;0.001530251;0.00123437;22.998;22;0;0;0.954545455;99.2844475;5797.815;4.556344;633.7961;1.183092;0.7210128;1.438681;0.09492369;10.34332
FW08WI051;UMW;2008;0.58659091;2.090909091;497;0.00137295;0.001381661;0.001363283;29.988;24;8;0.041666667;0.772727273;48.77813989;4885.195;6.129681;674.5283;29.80406;1.238899;1.505069;0.1887437;17.94825
FW08WI053;UMW;2008;0.263636364;2.272727272;637;0.001321636;0.001342657;0.001298312;63.436;23;6;0.043478261;0.818181818;95.72631835;208596.6;6.293997;727.988;36.11936;1.681574;1.538285;0.3127284;29.02606
FW08WI054;UMW;2008;1.052272727;2.909090909;232;0.001379608;0.001716663;0.001005607;20.655;18;2;0.055555556;NA;29.52423872;1600.298;7.386176;813.6875;16.64032;0.9364617;1.438816;0.03458731;11.94149
FW08WI055;UMW;2008;0.602272726;3.181818182;365;0.001433005;0.001918618;0.000894162;12.499;12;1;0.083333333;1;575.5066682;2426.955;4.927082;653.7223;1.62003;0.3504268;1.145976;0.02603262;3.076095
FW08WV005;SAP;2008;0.520454546;3.181818183;545;0.001388872;0.00130744;0.001479229;31.989;26;0;0;1;47.38580105;1649.535;11.93478;1301.838;0.000381926;1.110082;1.898325;0.1096672;16.19666
FW08WV006;SAP;2008;0.597727272;3.272727273;221;0.001385024;0.001042534;0.001765056;38.296;30;0;0;1;51.31640807;1202.873;11.58581;1107.184;0.001720879;0.4933956;2.106966;0.03778452;9.14326
FW08WV007;SAP;2008;0.536363637;2.272727272;518;0.001359519;0.001177694;0.001561275;48.084;27;3;0.037037037;NA;134.2756709;65496.4;9.153456;1077.807;4.652709;2.89511;2.404415;0.6266419;71.83309
FW08WV008;SAP;2008;0.620454547;3.818181819;536;0.001433839;0.001019534;0.001893556;32.561;32;0;0;0.954545455;86.26679767;1947.058;10.08714;1436.911;9.24E-05;0.4850185;1.652862;0.04673204;7.421692
FW08WV009;SAP;2008;0.595454546;3.090909091;195;0.001379115;0.00147525;0.001272442;27.145;23;7;0.043478261;1;36.67713349;3283.789;12.09785;1380.296;0.001123702;1.282808;1.722566;0.1818479;23.75977
FW08WV010;SAP;2008;0.577272729;1.454545456;478;0.00131192;0.000864348;0.001808552;114.323;30;20;0.033333333;NA;80.26243292;70661.24;9.290481;1075.144;4.319861;2.74281;2.365092;0.5932776;67.7155
FW08WV013;SAP;2008;0.390909091;3.000000001;509;0.001385522;0.001552199;0.001200574;24.661;22;0;0;0.95;37.95842058;22729.59;10.6883;1331.059;0.2034084;1.522652;2.270143;0.2366097;27.06236
FW08WV014;SAP;2008;0.643181818;3.818181818;150;0.001414952;0.001859064;0.00092216;18.235;16;4;0.0625;0.954545455;92.02655208;31408.02;10.96101;1334.762;0.2212804;1.519978;2.220743;0.2488524;29.01825
FW08WV022;SAP;2008;0.40909091;2.727272728;537;0.001404294;0.001461717;0.001340577;29.989;24;0;0;1;21.05092431;385.4709;11.5349;1098.601;0.005370055;1.016927;2.21216;0.09362574;15.86059
FW08WV023;SAP;2008;0.697727273;3.818181819;152;0.001409073;0.001593064;0.001204915;35.411;22;0;0;0.818181818;66.9696701;912.735;11.19209;1063.73;0.00019721;0.4056905;1.39783;0.04506237;10.14164
FW08WV026;SAP;2008;0.260909091;1.954545454;567;0.00139672;0.001721632;0.001036193;24.989;19;3;0.052631579;NA;132.2908601;104127.7;9.764676;1043.164;6.511615;2.678872;2.360985;0.5607273;64.08661
FW08WV027;SAP;2008;0.661363637;4.181818181;267;0.001313597;0.001379819;0.001240116;23.594;22;3;0.045454545;0.909090909;67.99916272;6914.913;10.41526;1202.298;0.1449649;1.761149;2.441764;0.2938996;40.56601
FW08WV029;SAP;2008;0.809090909;4.272727273;406;0.001346411;0.001553508;0.001116614;23.99;20;10;0.05;0.904761905;111.42259;848.5929;12.32811;1248.515;0;1.112962;2.361495;0.09927022;33.07757
FW08WV030;SAP;2008;0.197727274;1.181818183;697;0.000813703;0.001653212;0.001056451;23.893;19;6;0.052631579;NA;86.75242477;104599.7;9.773319;1043.007;6.484791;2.673733;2.35901;0.5589747;63.94016
FW08WV033;SAP;2008;0.915909092;5.181818181;505;0.001398738;0.001755626;0.001557537;28.597;27;2;0.037037037;0.818181818;58.04726392;2152.68;12.06697;1330.585;0.000334467;1.081778;1.923052;0.09686993;17.10949
FW08WY008;XER;2008;0.531818183;4.636363635;380;0.001469612;0.001440003;0.001502467;5;5;0;0;0.363636364;15.8205339;81.3186;3.747008;680.2307;0;0.4981406;1.97268;0.01217434;0.2271481
FW08WY034;NPL;2008;0.436363635;3.000000001;35;0.001443989;0.001546266;0.001330502;6.243;6;75;0.166666667;0.5;27.48271082;2339.239;5.435539;439.303;1.066886;0.3539406;0.9056407;0.03397259;3.04276
FW08WY043;SPL;2008;0.904545455;3.454545454;489;0.001391168;0.00172624;0.001019367;9.499;9;13;0.111111111;0.318181818;15.38254291;7960.436;4.980413;484.5633;0.5495578;0.2858821;1.096729;0.04071259;4.606906
FW08WY050;NPL;2008;0.288636364;2.999999999;16;0.001608062;0.001155326;0.002110423;3;3;69;0.333333333;0;20.04861516;2573.931;5.649517;429.7948;1.289895;0.3320722;0.8873482;0.03087496;2.810614
FW08WY055;XER;2008;0.188636363;1.727272727;481;0.001467103;0.001623939;0.001293077;6;6;0;0;0;14.16086709;951.4062;4.041154;401.3249;0;0.11991;1.281015;0.001986533;0.2156557
FW08WY061;NPL;2008;0.297727272;2.454545454;95;0.001539898;0.00161096;0.001461047;5;5;0;0;0;6.544372721;241.857;6.881863;338.2836;0;0.1849254;0.8160381;0.001488483;0.2103989
FW08AL001;SAP;2009;0.036363638;0.727272728;78;0.000879052;0.000281297;0.001602398;2;2;0;0;1;7.512617277;1.0008;17.24059017;2028.781693;0;0.007194245;0.531465336;0;40.2158956
FW08AL002;SAP;2009;0.588636364;3.090909091;1037;0.000903555;0.001195568;0.000550188;13;13;0;0;0.727272727;25.57054808;19.7901;17.21870018;1963.33506;0;17.8700714;7.955510922;1.996452772;635.4166355
FW08AL004;SAP;2009;0.586363637;3.636363637;641;0.000833041;0.001068118;0.000548573;10;10;0;0;1;19.21016145;10.2771;15.95927613;1955.356029;0;0.541728698;1.019894345;0;26.31356329
FW08AL006;SAP;2009;0.081818183;1.636363636;276;0.0009019;0.000885076;0.000922259;23.242;21;0;0;1;11.76237796;26.1252;16.90670594;2078.635456;0;0.168630288;1.026881736;0;2.157075511
FW08AL007;SAP;2009;0.281818182;3.454545454;108;0.000923995;0.000916705;0.001932818;4;4;0;0;1;5.862057117;0.8883;15.84101534;2192.476074;0;0.705167173;2.245897719;0;5.450773853
FW08AL008;SAP;2009;0.465909091;2.909090909;306;0.000933334;0.001267666;0.000528757;8;8;0;0;0.818181818;9.677171643;10.9251;15.47057574;1767.490205;0;0.557541807;1.806266135;0;87.76877696
FW08AL011;SAP;2009;0.279545456;2.090909092;69;0.000830167;0.000673736;0.001019466;4;4;0;0;1;11.28382858;2.4903;14.06477052;1519.357003;0.361402241;2.240693892;1.574774068;0.469822913;17.38437565
FW08AL012;SAP;2009;0.163636364;3;519;0.000862338;0.000675965;0.001087869;28.159;24;0;0;1;60.60461362;4785.6267;14.75025274;1545.770873;8.707361149;1.300450806;1.713429789;0.196394341;24.34776574
FW08AL013;SAP;2009;0.14090909;2.09090909;63;0.000968461;0.001360766;0.00049373;12.246;12;0;0;0.954545455;13.55366498;3.3768;15.96515554;1785.939605;0;0.57782516;0.694284852;0;8.501662917
FW08AL015;CPL;2009;0.227272728;2.363636363;186;0.000898694;0.000802651;0.001014916;39.577;23;1;0.043478261;0.909090909;37.48925772;1614.2913;18.46620555;2252.780245;1.680811883;0.682467161;1.306251432;0.103754508;10.90729917
FW08AL016;SAP;2009;0.740909092;3.272727272;479;0.000839762;0.000761066;0.000934991;23.245;21;0;0;1;57.60988622;169.8075;15.72603808;1595.587776;0.339207632;1.103378826;1.611270121;0.031800716;31.2405054
FW08AL018;SAP;2009;0.652272727;4;49;0.001191477;0.001253387;0.000505002;10.98;10;0;0;1;9.961562492;6.462;16.97346208;2182.779727;0;0.236768802;1.741387968;0;2.157075511
FW08AL019;CPL;2009;0.231818181;2.454545454;68;0.000904196;0.001224076;0.000517107;10.478;9;0;0;1;17.77311143;4.6053;17.30087514;1911.230868;0;0.100644909;1.199311233;0;5.716846131
FW08AL021;CPL;2009;0.2;2.181818183;156;0.000908198;0.001047352;0.000739807;20.236;18;0;0;1;27.21036641;1778.634;18.62741617;1906.077927;10.41532997;0.799271351;1.214886337;0.063453189;13.35441718
FW08AL024;SAP;2009;0.231818182;2.818181818;383;0.000877275;0.000751407;0.001029588;23.665;23;1;0.043478261;1;59.98013139;932.7627;15.67287161;1954.822365;2.515720236;3.323164831;2.373378713;0.537146265;54.66718723
FW08AL025;CPL;2009;0.122727272;2.454545455;511;0.000844158;0.000904765;0.000770817;19.497;18;0;0;1;148.6680255;12275.4933;16.07288337;1867.55824;0.03707631;7.219924547;3.109001083;1.859262959;219.5094196
FW08AL026;CPL;2009;0.463636364;2.636363637;490;0.000883624;0.000593528;0.00123467;44.963;27;1;0.037037037;1;144.7071581;58613.9319;16.68624858;1885.440989;1.671085471;2.120119323;1.822220628;0.378163506;48.78412669
FW08AL027;CPL;2009;0.39090909;3;75;0.000887776;0.0011553;0.000564045;17.44;13;0;0;1;14.8267308;2.9223;17.91490564;1790.824833;0;0.201416692;0.788688921;0;4.657487241
FW08AL028;SAP;2009;1.002272728;4.000000001;517;0.000860185;0.00076156;0.000979531;22.071;22;0;0;1;71.2352058;4957.731;14.76376808;1549.669833;8.486799707;1.269116235;1.704705139;0.189939712;23.98139236
FW08AL030;CPL;2009;0.186363637;3;30;0.000977692;0.001186679;0.000724794;5.967;5;0;0;1;11.76028466;21.2391;18.0137139;1933.933939;0;0.376583754;1.103433726;0.004237468;3.889187394
FW08AL032;CPL;2009;0.179545455;1.909090909;464;0.00092481;0.000686478;0.001213216;30.118;27;0;0;0.954545455;36.54345137;220.0617;15.68327774;1563.110158;0.103062005;0.887670594;1.363557102;0.062164384;9.915508302
FW08AL035;CPL;2009;0.195454546;3.545454546;536;0.000844178;0.001016488;0.000635665;17.994;15;0;0;1;166.2543688;12429.1386;16.27796364;2056.759852;0.461327223;2.873460281;2.103888623;0.559313097;58.48058385
FW08AL036;CPL;2009;0.218181819;2.545454546;78;0.000907712;0.001225803;0.000522789;15.949;12;0;0;1;17.35551029;5.9787;15.94153034;2117.37542;0;0.920969442;2.105239798;0;10.4462187
FW08AL046;SAP;2009;0.406818182;3.181818181;128;0.000886098;0.001105241;0.000620912;15.992;15;0;0;0.909090909;9.039055206;6.1821;16.62693627;1672.509464;0;0.626000873;0.88158306;0.01455816;6.415707002
FW08AL047;CPL;2009;0.381818181;2.818181818;192;0.000914935;0.001248122;0.000511743;11.984;9;0;0;1;10.16882106;3.2976;17.26549061;1940.142323;0;2.67849345;3.345478021;0.027292576;31.15865802
FW08AL051;CPL;2009;0.329545455;3.454545455;89;0.000913985;0.001026538;0.000777785;5;5;0;0;1;12.66992952;1.8297;17.8639416;1835.001829;0;0.059517954;1.617817553;0;6.02604304
FW08AR001;CPL;2009;0.327272727;2.545454545;222;0.00083665;0.001044978;0.000584552;13.995;13;0;0;1;18.63548261;48.726;15.25848505;1701.309367;10.10897673;0.821739934;1.619272055;0.020317695;25.23174127
FW08AR002;CPL;2009;0.509090908;2.454545454;24;0.000898378;0.000986742;0.000791448;5;5;0;0;1;11.94373255;18.0711;16.41922198;2111.413461;1.265003237;0.440609592;1.323614252;0.004980328;13.87026428
FW08AR003;SAP;2009;0.238636364;2.363636364;519;0.000877295;0.001049668;0.000668705;16.665;16;2;0.0625;0.954545455;41.54819521;535.9572;14.33790359;1469.437589;0;2.395610135;1.902523556;0.533158245;39.96277376
FW08AR006;SAP;2009;0.529545454;3.363636363;282;0.000849827;0.000988929;0.000681499;19.986;16;0;0;1;13.67993074;32.4855;14.93897749;1827.214966;0;0.143537886;1.305254322;0;8.351021947
FW08AR012;CPL;2009;0.843181819;3.818181819;507;0.000857842;0.000580168;0.001193858;30.491;26;2;0.038461538;1;150.067325;71130.8754;14.35845342;1573.662046;12.29383352;1.023833701;1.512129506;0.14683244;17.56339558
FW08AR014;CPL;2009;0.513636364;2.454545454;442;0.000866798;0.000593354;0.001197693;30.157;26;23;0.115384615;1;91.19470789;21738.5217;15.12421632;1585.791309;64.8578307;1.381353034;1.599444905;0.242407928;20.04733052
FW08AR016;SAP;2009;0.059090911;1.181818183;502;0.000904084;0.001113727;0.000650393;21.988;16;0;0;1;40.26026853;536.6646;14.44038942;1603.981885;0;0.130111992;1.051435522;0.000335405;2.087035865
FW08AR017;CPL;2009;0.304545455;1.636363637;529;0.000867059;0.000471696;0.001345491;37.983;29;1;0.034482759;0.80952381;71.51880448;6351.3486;16.72106527;2150.217718;0.157020196;1.592937223;1.645857034;0.17673097;21.87901206
FW08AR019;SAP;2009;0.293181818;2.363636363;545;0.000841808;0.00062625;0.001102655;28.159;24;4;0.041666667;1;117.3362173;1474.9227;15.82077459;1794.531094;0;0.286798962;0.905309029;0.015010956;1.951630605
FW08AR020;SAP;2009;0.706818182;5.363636363;147;0.001287186;0.001998434;0.0007187;29.415;17;0;0;1;20.46789675;31.1058;16.24025383;2287.296082;0;0.503385221;2.009248674;0;5.184834391
FW08AR022;CPL;2009;0.975;3;155;0.000847489;0.000637101;0.00110208;26.484;24;7;0.083333333;1;38.93065578;2428.9452;16.06204252;1886.571584;73.97814903;1.139841072;1.564998389;0.167887691;17.15004538
FW08AR024;CPL;2009;0.20909091;1.999999999;535;0.000868869;0.000644821;0.001139991;56.94;25;23;0.12;0.863636364;194.3338791;10977.5223;16.39470256;1832.958598;0.138154126;0.784103249;1.56175124;0.075820388;7.45626695
FW08AR025;SAP;2009;0.693181819;3.636363637;139;0.000897252;0.001060015;0.000700292;21.468;17;0;0;0.954545455;37.52377832;117.0081;14.43169411;1557.124741;0;0.344868432;1.125974918;0;5.037953923
FW08AR026;CPL;2009;0.593181818;2.636363636;92;0.000891161;0.000969244;0.000796672;50.652;19;1;0.052631579;0.954545455;63.95034374;13298.2785;14.54407827;1487.600788;56.79069889;1.234547893;1.575515458;0.189680943;18.68882067
FW08AR027;CPL;2009;0.545454546;2.272727273;41;0.000908863;0.000674776;0.001192132;3;3;0;0;0.318181818;15.66118537;9.0081;16.07662307;2140.963491;78.74912579;0.978219602;1.791790398;0.019982016;2.798480343
FW08AR028;CPL;2009;0.434090908;3.727272727;541;0.000860237;0.000497592;0.001299076;63.933;28;2;0.035714286;1;190.2847149;71050.113;14.35561154;1573.279594;12.2823685;1.024345284;1.512440889;0.146947409;17.58164067
FW08AR030;CPL;2009;0.413636364;2.727272728;222;0.0008758;0.000413856;0.0014348;37.72;31;0;0;0.863636364;152.7312289;4129.9668;15.96527609;2036.806348;0.001176765;1.612721875;1.734106145;0.325942087;25.31338027
FW08AR031;SAP;2009;0.165625;0.5;73;0.000868184;0.001119007;0.000564662;13.164;13;0;0;1;29.76668294;428.094;15.63150284;1985.986396;0.000210234;0.907768154;1.411231616;0.335954253;13.39495586
FW08AR032;SAP;2009;0.090909091;1.090909091;324;0.000834543;0.000925862;0.000724037;19.243;17;19;0.117647059;0.909090909;58.98125023;377152.1307;13.0142433;734.2844778;21.06909335;1.00551282;1.367862151;0.198144446;16.53645439
FW08AR036;CPL;2009;0.23409091;1.545454546;121;0.000875708;0.000934577;0.000804471;27.099;19;1;0.052631579;0.181818182;158.9258133;120639.3039;16.16910012;850.6813304;19.53665235;0.761606081;1.400206112;0.137931167;9.56194488
FW08AR037;CPL;2009;0.406818182;2.090909091;574;0.000850391;0.000429411;0.001359822;33.492;29;1;0.034482759;0.954545455;150.932288;19017.8163;13.85196997;1508.695698;7.695888302;0.570619709;1.360057374;0.057432461;9.241200654
FW08AR041;SAP;2009;0.64318182;4.454545453;43;0.000885289;0.0011798;0.000528899;18.767;9;93;0.666666667;0.818181818;64.80577041;15634.1745;13.74154482;1333.168943;0.06240176;1.880860477;1.946972076;0.319803262;36.11790105
FW08AR042;CPL;2009;1.161363637;3;505;0.000864295;0.000463603;0.001349174;57.111;29;4;0.103448276;1;39.47944101;19658.5218;15.00005794;1575.476168;63.38163025;1.332520938;1.586745458;0.223606843;19.63187142
FW08AR043;CPL;2009;0.745454545;2.727272727;492;0.00087509;0.000530057;0.001292616;36.982;28;16;0.035714286;0.954545455;235.382238;58111.6104;14.17624919;1532.106232;6.038764501;1.043003909;1.552791142;0.155458263;17.92546234
FW08AR044;SAP;2009;0.1;1.636363636;73;0.000900366;0.001192181;0.000547239;12.438;8;0;0;1;8.942080595;1.7703;16.07378121;1630.244873;0;0.626842908;1.320430053;0;15.63983409
FW08AR052;CPL;2009;0.172727274;1.272727273;510;0.000849635;0.000598864;0.001153096;33.982;25;44;0.16;0.681818182;361.8088535;144350.5194;16.30367574;1011.016489;17.03343597;0.852235439;1.412401718;0.146622472;10.31572602
FW08AR053;CPL;2009;0.354545455;1.545454547;498;0.000843359;0.000332423;0.001461644;51.126;31;3;0.032258065;0.818181818;78.14283736;4822.8507;13.70777078;1428.314239;17.70084029;0.729279532;1.483213567;0.083975231;11.9440526
FW08AR057;SAP;2009;0.31590909;2.454545455;549;0.000888058;0.000997626;0.000755468;26.984;18;7;0.111111111;0.954545455;38.61373074;25870.2399;13.86768403;1388.413867;0.039384637;1.428330554;1.744313031;0.221679042;26.32678059
FW08AR060;SAP;2009;0.570909091;2.727272727;514;0.000833753;0.000743744;0.000942673;33.476;21;4;0.047619048;0.909090909;73.02490235;376215.8733;13.00628953;732.2629802;21.11009613;0.995920483;1.366364743;0.196066368;16.36353389
FW08AR069;SAP;2009;0.189090909;1.736363638;273;0.000862852;0.000935256;0.000775235;18.897;18;0;0;0.863636364;13.54103005;13.6998;14.83612265;1553.028497;0;0.661345421;1.937274386;0.006569439;6.773239328
FW08AR070;SAP;2009;0.545454545;5.454545454;78;0.001285665;0.001988419;0.00057619;8;8;0;0;1;25.22648727;2.5425;15.49083219;2067.281006;0;1.727433628;1.898869586;0.283185841;13.93540357
FW08AR073;SAP;2009;0.318181818;1.909090909;1;0.000992985;8.02E-05;0.002070716;1;1;0;0;1;15.17619082;9.7767;14.19451592;1404.045592;95.98;0.692258124;1.452432803;0.036822241;11.00313235
FW08AR080;SAP;2009;0.10909091;1.090909092;224;0.000882409;0.001150759;0.000557678;13;13;0;0;0.909090909;27.69549247;74.7837;14.29808676;1711.519727;0;0.178944075;1.076981025;0;1.907992023
FW08AR084;CPL;2009;0.356818182;3.636363637;101;0.000855439;0.001119705;0.00053565;12.98;11;0;0;1;15.27555319;5.1021;16.73749823;2549.065933;0;0.60433939;1.401593958;0.176397954;6.59469629
FW08AR088;CPL;2009;0.127272727;2.181818182;78;0.000864421;0.00101549;0.000681611;20.113;16;0;0;1;20.19897554;1.3293;17.36628612;1886.32227;0;0.104265403;0.850348771;0;9.517190521
FW08AR093;CPL;2009;0.1475;0.7;18;0.000878696;0.000798969;0.000975174;4;4;0;0;0.272727273;12.9099281;3.2022;17.78671926;1742.40977;81.64699269;0.549747049;1.883668239;0.028105677;1.85516034
FW08AR094;CPL;2009;0.252272728;2.636363636;80;0.000876528;0.001091621;0.000616243;7;7;0;0;1;15.99838359;1.6677;16.7183033;2286.973075;0;1.080410146;1.764181528;0;2.178087502
FW08AR099;SAP;2009;0.122727273;2.090909091;56;0.00092861;0.001278872;0.000504757;9.246;9;0;0;1;24.25389899;25.5402;13.97748384;1829.437523;0;0.255867221;0.801449423;0.003523857;2.28033491
FW08AR111;SAP;2009;0.681818182;2;16;0.000896721;0.001077342;0.00067815;6.469;6;0;0;0.727272727;8.508924642;2.1807;16.11025724;1942.889012;0;0.621543541;1.988070029;0.330169212;9.272544104
FW08AR112;SAP;2009;0.447727273;4;9;0.001287754;0.001032486;0.000690046;13.111;6;0;0;1;8.44606788;4.3632;15.68299989;1920.627686;0;0.077764026;0.282764968;0;2.469246285
