SITE_ID;Year;Site;Organism;Richness
FW08RWI9302;2009;Usstreams;Fish;20
MOR9_0908;2014;Usstreams;Fish;22
FW08NC037;2009;Usstreams;Fish;16
WARF_0102;2013;Usstreams;Fish;3
NYSS_1252;2013;Usstreams;Fish;5
FW08RNY9001;2009;Usstreams;Fish;11
FW08NE027;2008;Usstreams;Fish;5
FW08TN025;2008;Usstreams;Fish;54
IDRM_1024;2013;Usstreams;Fish;1
WARF_0104;2013;Usstreams;Fish;1
NMS9_0920;2014;Usstreams;Fish;1
CARO_1043;2014;Usstreams;Fish;1
WIRM_1006;2014;Usstreams;Fish;26
FW08ND016;2009;Usstreams;Fish;2
FW08VA002;2009;Usstreams;Fish;2
WVR9_0903;2014;Usstreams;Fish;26
FW08CO123;2009;Usstreams;Fish;2
FW08MS017;2009;Usstreams;Fish;2
FW08NY049;2009;Usstreams;Fish;11
FW08WY039;2009;Usstreams;Fish;3
MTRM_1003;2013;Usstreams;Fish;2
MISS_1136;2013;Usstreams;Fish;2
FW08WI026;2009;Usstreams;Fish;3
MOR9_0903;2014;Usstreams;Fish;22
FW08SC007;2009;Usstreams;Fish;25
KYRM_1006;2013;Usstreams;Fish;25
OHRF_0002;2013;Usstreams;Fish;23
NER9_0911;2014;Usstreams;Fish;2
FW08IA034;2009;Usstreams;Fish;23
FW08MD023;2009;Usstreams;Fish;18
FW08MN053;2009;Usstreams;Fish;20
FW08NE026;2008;Usstreams;Fish;3
FW08TX009;2009;Usstreams;Fish;20
KSS9_0933;2013;Usstreams;Fish;21
FW08WI010;2009;Usstreams;Fish;5
FW08SD029;2008;Usstreams;Fish;3
FW08CO047;2009;Usstreams;Fish;6
FW08DE028;2009;Usstreams;Fish;5
WIRO_1051;2014;Usstreams;Fish;15
GARF_0002;2014;Usstreams;Fish;18
WYRO_1036;2013;Usstreams;Fish;3
FW08GA044;2009;Usstreams;Fish;17
FW08MN001;2009;Usstreams;Fish;12
FW08MT058;2009;Usstreams;Fish;5
MTR9_0914;2014;Usstreams;Fish;4
FW08RRI91;2009;Usstreams;Fish;12
FW08NC041;2009;Usstreams;Fish;14
ORRO_1049;2014;Usstreams;Fish;3
NELS_1082;2014;Usstreams;Fish;5
IDRM_1023;2013;Usstreams;Fish;3
FW08AL008;2009;Usstreams;Fish;8
FW08TX022;2009;Usstreams;Fish;10
FW08TX047;2008;Usstreams;Fish;4
KSRF_0001;2014;Usstreams;Fish;13
FW08NC001;2009;Usstreams;Fish;8
IASS_1092;2014;Usstreams;Fish;9
SCR9_0903;2014;Usstreams;Fish;13
FW08NV057;2008;Usstreams;Fish;3
FW08ID044;2008;Usstreams;Fish;3
OHSS_1123;2013;Usstreams;Fish;6
IDLS_1081;2014;Usstreams;Fish;4
WAS9_0923;2013;Usstreams;Fish;4
NELS_1074;2013;Usstreams;Fish;4
TXR9_0914;2013;Usstreams;Fish;15
IDRM_1005;2014;Usstreams;Fish;5
FW08WV009;2008;Usstreams;Fish;23
FW08IL038;2008;Usstreams;Fish;22
MIR9_0904;2014;Usstreams;Fish;10
WIS9_0930;2013;Usstreams;Fish;9
NYR9_0902;2013;Usstreams;Fish;11
KSRS_1269;2013;Usstreams;Fish;11
FW08SD061;2008;Usstreams;Fish;6
ARS9_0944;2013;Usstreams;Fish;12
NHRO_1031;2013;Usstreams;Fish;8
NCR9_0909;2013;Usstreams;Fish;8
IDRO_1041;2013;Usstreams;Fish;7
IDRO_1025;2013;Usstreams;Fish;6
FW08CO076;2008;Usstreams;Fish;9
FW08LA029;2008;Usstreams;Fish;17
FW08ND028;2008;Usstreams;Fish;11
FW08CA116;2009;Usstreams;Fish;1
FW08ID057;2008;Usstreams;Fish;1
ILRM_1002;2014;Usstreams;Fish;23
FW08RND9033;2008;Usstreams;Fish;10
FW08MO041;2009;Usstreams;Fish;20
INR9_0903;2014;Usstreams;Fish;17
FW08MO080;2009;Usstreams;Fish;15
FW08TX064;2009;Usstreams;Fish;13
FW08OH033;2008;Usstreams;Fish;26
FW08WA044;2009;Usstreams;Fish;7
IDR9_0901;2013;Usstreams;Fish;4
FW08MI026;2008;Usstreams;Fish;18
FW08MO005;2008;Usstreams;Fish;7
FW08DE001;2008;Usstreams;Fish;11
FW08LA011;2008;Usstreams;Fish;22
MNRM_1002;2013;Usstreams;Fish;18
CORO_1033;2014;Usstreams;Fish;5
SCRO_1013;2014;Usstreams;Fish;11
OHLS_1068;2013;Usstreams;Fish;13
VTS9_0917;2013;Usstreams;Fish;2
AZRO_1031;2014;Usstreams;Fish;3
FW08MI057;2008;Usstreams;Fish;22
FW08MI041;2008;Usstreams;Fish;17
FW08NE037;2008;Usstreams;Fish;19
FW08AR177;2009;Usstreams;Fish;2
FW08MN040;2008;Usstreams;Fish;10
PARM_1004;2013;Usstreams;Fish;34
MTS9_0922;2014;Usstreams;Fish;1
FW08AR007;2008;Usstreams;Fish;27
MOS9_0940;2014;Usstreams;Fish;5
NYLS_1125;2013;Usstreams;Fish;13
RIS9_0912;2014;Usstreams;Fish;11
OKLS_1176;2013;Usstreams;Fish;26
TNS9_0923;2014;Usstreams;Fish;22
FW08MT066;2009;Usstreams;Fish;3
FW08NC012;2009;Usstreams;Fish;4
SCRF_0001;2014;Usstreams;Fish;20
FW08MS147;2008;Usstreams;Fish;29
FW08AL046;2009;Usstreams;Fish;15
FW08LA092;2009;Usstreams;Fish;10
ILRO_1024;2014;Usstreams;Fish;10
CTLS_1047;2014;Usstreams;Fish;10
MERF_0004;2014;Usstreams;Fish;11
CALS_1106;2014;Usstreams;Fish;4
NYR9_0911;2013;Usstreams;Fish;13
MIRF_0005;2013;Usstreams;Fish;12
FW08MA018;2008;Usstreams;Fish;11
FW08MO027;2009;Usstreams;Fish;6
FW08ID004;2008;Usstreams;Fish;1
SDSS_1196;2014;Usstreams;Fish;1
NVS9_0926;2013;Usstreams;Fish;1
FW08TN040;2009;Usstreams;Fish;40
NVSS_1104;2013;Usstreams;Fish;1
WYS9_0933;2014;Usstreams;Fish;1
FW08IA083;2009;Usstreams;Fish;2
INS9_0927;2014;Usstreams;Fish;29
OKSS_1405;2013;Usstreams;Fish;31
FW08MN008;2009;Usstreams;Fish;2
FW08CO050;2009;Usstreams;Fish;2
ILR9_0906;2014;Usstreams;Fish;24
PARF_0002;2013;Usstreams;Fish;30
FW08MD030;2009;Usstreams;Fish;26
FW08ND027;2008;Usstreams;Fish;6
FW08OH044;2009;Usstreams;Fish;3
FW08OR069;2008;Usstreams;Fish;2
FW08GA054;2009;Usstreams;Fish;4
OKLS_1209;2014;Usstreams;Fish;19
FW08RMS9306;2009;Usstreams;Fish;17
FW08AR161;2009;Usstreams;Fish;5
WIR9_0915;2014;Usstreams;Fish;16
FW08MO017;2009;Usstreams;Fish;18
FW08TX124;2009;Usstreams;Fish;8
OKRF_0004;2014;Usstreams;Fish;15
WILS_1086;2014;Usstreams;Fish;4
WISS_1163;2014;Usstreams;Fish;3
FW08WI007;2009;Usstreams;Fish;12
FW08CO003;2008;Usstreams;Fish;1
FW08WA122;2009;Usstreams;Fish;4
OKRF_0002;2014;Usstreams;Fish;3
FW08NE031;2009;Usstreams;Fish;6
WIR9_0903;2014;Usstreams;Fish;15
IDRO_1036;2013;Usstreams;Fish;3
FW08CT030;2009;Usstreams;Fish;9
FW08SC022;2009;Usstreams;Fish;5
FW08NC158;2009;Usstreams;Fish;14
OKRO_1092;2014;Usstreams;Fish;12
FW08AL002;2009;Usstreams;Fish;13
FW08MT063;2009;Usstreams;Fish;10
SDR9_0920;2014;Usstreams;Fish;6
DELS_1032;2014;Usstreams;Fish;10
VTS9_0911;2013;Usstreams;Fish;7
NYR9_0913;2013;Usstreams;Fish;13
FLRO_1024;2014;Usstreams;Fish;7
MILS_1059;2013;Usstreams;Fish;8
OHRM_1005;2013;Usstreams;Fish;10
NHR9_0903;2013;Usstreams;Fish;7
FW08NJ008;2008;Usstreams;Fish;20
FW08NY034;2008;Usstreams;Fish;17
NCSS_1083;2013;Usstreams;Fish;7
FW08WI055;2008;Usstreams;Fish;12
FW08TX043;2008;Usstreams;Fish;14
FW08MO033;2009;Usstreams;Fish;29
WIRO_1043;2014;Usstreams;Fish;26
NDS9_0940;2013;Usstreams;Fish;2
FW08KY005;2009;Usstreams;Fish;18
FW08OH032;2008;Usstreams;Fish;29
FW08KY011;2009;Usstreams;Fish;18
FW08VT008;2008;Usstreams;Fish;3
FW08WV005;2008;Usstreams;Fish;26
FW08WI048;2008;Usstreams;Fish;22
ORR9_0903;2013;Usstreams;Fish;4
ILS9_0920;2013;Usstreams;Fish;10
FW08SD031;2009;Usstreams;Fish;6
FW08MD012;2008;Usstreams;Fish;16
FW08MO008;2009;Usstreams;Fish;8
FW08NJ016;2009;Usstreams;Fish;14
WIRF_0010;2014;Usstreams;Fish;11
KYRM_1003;2013;Usstreams;Fish;33
MILS_1055;2014;Usstreams;Fish;7
NYSS_1253;2013;Usstreams;Fish;8
MOS9_0932;2013;Usstreams;Fish;10
MORF_0012;2013;Usstreams;Fish;23
OHRM_1003;2014;Usstreams;Fish;25
NES9_0932;2013;Usstreams;Fish;1
MTSS_1260;2013;Usstreams;Fish;1
FW08IL013;2009;Usstreams;Fish;25
NMRF_0001;2014;Usstreams;Fish;2
FW08AL016;2009;Usstreams;Fish;21
FW08NM005;2009;Usstreams;Fish;4
FW08RFL9013;2009;Usstreams;Fish;4
FW08SD017;2009;Usstreams;Fish;6
SCS9_0923;2014;Usstreams;Fish;19
FW08SD075;2009;Usstreams;Fish;5
FW08NC086;2009;Usstreams;Fish;6
CTS9_0917;2013;Usstreams;Fish;4
MARO_1021;2013;Usstreams;Fish;6
ALLS_1037;2014;Usstreams;Fish;10
FW08KS039;2008;Usstreams;Fish;7
LARF_0002;2013;Usstreams;Fish;15
FW08RMO9003;2008;Usstreams;Fish;22
FW08GA064;2009;Usstreams;Fish;6
FW08CA132;2009;Usstreams;Fish;1
CAS9_0921;2013;Usstreams;Fish;1
TXRF_0006;2014;Usstreams;Fish;1
FW08PA044;2009;Usstreams;Fish;2
FW08NJ035;2009;Usstreams;Fish;2
FW08WI038;2009;Usstreams;Fish;2
TNRO_1017;2014;Usstreams;Fish;27
FW08WI056;2009;Usstreams;Fish;25
LARM_1001;2014;Usstreams;Fish;24
TXR9_0919;2014;Usstreams;Fish;23
FW08IA062;2009;Usstreams;Fish;21
FW08RWI9044;2009;Usstreams;Fish;4
FW08MN056;2009;Usstreams;Fish;19
GAR9_0905;2014;Usstreams;Fish;22
UTLS_1058;2013;Usstreams;Fish;2
FW08OK062;2009;Usstreams;Fish;19
MSRF_0004;2014;Usstreams;Fish;24
FW08MI032;2009;Usstreams;Fish;4
FW08KS045;2009;Usstreams;Fish;15
ILLS_1070;2014;Usstreams;Fish;15
FW08WV006;2008;Usstreams;Fish;30
FW08OR055;2009;Usstreams;Fish;4
FW08OH006;2009;Usstreams;Fish;13
FW08NM045;2009;Usstreams;Fish;5
FW08RWI9071;2009;Usstreams;Fish;9
FW08CT017;2009;Usstreams;Fish;7
FW08RMT9001;2009;Usstreams;Fish;8
FW08OK053;2009;Usstreams;Fish;9
AZLS_1072;2014;Usstreams;Fish;3
FW08VA044;2009;Usstreams;Fish;8
FW08RI006;2009;Usstreams;Fish;9
LARF_0001;2014;Usstreams;Fish;15
WYSS_1197;2013;Usstreams;Fish;3
WVRM_1001;2014;Usstreams;Fish;11
MTRO_1068;2014;Usstreams;Fish;7
FLS9_0918;2014;Usstreams;Fish;12
MIRO_1024;2014;Usstreams;Fish;7
NYS9_0927;2013;Usstreams;Fish;6
UTRM_1009;2013;Usstreams;Fish;4
NYLS_1123;2013;Usstreams;Fish;9
MTRO_1075;2014;Usstreams;Fish;6
NYS9_0936;2013;Usstreams;Fish;9
MTRO_1061;2013;Usstreams;Fish;6
WALS_1072;2013;Usstreams;Fish;5
TXR9_0916;2013;Usstreams;Fish;13
DES9_0912;2013;Usstreams;Fish;10
WYLS_1094;2013;Usstreams;Fish;6
FW08LA037;2008;Usstreams;Fish;21
NCLS_1039;2013;Usstreams;Fish;9
TNR9_0904;2014;Usstreams;Fish;41
FW08WI077;2009;Usstreams;Fish;2
ILR9_0902;2013;Usstreams;Fish;21
FW08OR015;2008;Usstreams;Fish;7
FW08WY034;2008;Usstreams;Fish;6
MISS_1135;2013;Usstreams;Fish;10
FW08KS038;2008;Usstreams;Fish;7
FW08MI046;2008;Usstreams;Fish;18
WYS9_0937;2014;Usstreams;Fish;2
FW08MI030;2008;Usstreams;Fish;25
FW08IL021;2009;Usstreams;Fish;25
FW08WI034;2008;Usstreams;Fish;14
FW08GA041;2009;Usstreams;Fish;3
NCRM_1002;2013;Usstreams;Fish;7
FW08MO069;2009;Usstreams;Fish;20
FW08MI034;2008;Usstreams;Fish;19
MTSS_1290;2014;Usstreams;Fish;5
ORS9_0942;2014;Usstreams;Fish;2
FW08RI003;2009;Usstreams;Fish;12
FW08VA006;2008;Usstreams;Fish;7
MSRM_1004;2014;Usstreams;Fish;15
OHR9_0901;2014;Usstreams;Fish;25
NYSS_1241;2013;Usstreams;Fish;2
ORRF_0107;2014;Usstreams;Fish;4
FW08OR049;2009;Usstreams;Fish;1
WYR9_0910;2014;Usstreams;Fish;2
OHRF_0001;2013;Usstreams;Fish;28
FW08MS211;2008;Usstreams;Fish;33
FW08AR006;2009;Usstreams;Fish;16
FW08WI049;2008;Usstreams;Fish;28
FW08IL020;2009;Usstreams;Fish;13
FW08NY052;2009;Usstreams;Fish;16
FW08NJ007;2009;Usstreams;Fish;12
FW08PA015;2009;Usstreams;Fish;16
FW08SD012;2008;Usstreams;Fish;3
WYRM_1004;2014;Usstreams;Fish;5
VARS11_169;2014;Usstreams;Fish;18
VARF_0002;2014;Usstreams;Fish;18
FW08RI013;2009;Usstreams;Fish;8
MNR9_0906;2014;Usstreams;Fish;5
VARS11_181;2014;Usstreams;Fish;17
GALS_1052;2014;Usstreams;Fish;16
VTRS_1005;2014;Usstreams;Fish;6
UTRM_1008;2014;Usstreams;Fish;5
OKRF_0001;2013;Usstreams;Fish;8
IAR9_0905;2013;Usstreams;Fish;13
MSRF_0002;2014;Usstreams;Fish;6
FW08CA067;2008;Usstreams;Fish;7
KYRM_1005;2014;Usstreams;Fish;26
FW08RNM9001;2008;Usstreams;Fish;2
FW08PA019;2009;Usstreams;Fish;25
FW08TN010;2008;Usstreams;Fish;34
MSS9_0919;2014;Usstreams;Fish;26
ORS9_0941;2013;Usstreams;Fish;2
FW08OK031;2009;Usstreams;Fish;4
SDS9_0938;2013;Usstreams;Fish;3
FW08RNM9067;2009;Usstreams;Fish;3
WYLS_1085;2014;Usstreams;Fish;3
SDSS_1203;2014;Usstreams;Fish;3
FW08SD094;2009;Usstreams;Fish;6
FW08NY081;2009;Usstreams;Fish;6
FW08MI006;2009;Usstreams;Fish;12
FW08ID048;2009;Usstreams;Fish;4
FW08NJ004;2009;Usstreams;Fish;16
MSS9_0917;2014;Usstreams;Fish;3
FW08WI104;2009;Usstreams;Fish;12
WYLS_1104;2014;Usstreams;Fish;7
FW08OR011;2009;Usstreams;Fish;6
MNRF_0005;2014;Usstreams;Fish;8
ILSS_1124;2014;Usstreams;Fish;8
NYRM_1002;2014;Usstreams;Fish;7
NERM_1003;2013;Usstreams;Fish;5
WYS9_0936;2014;Usstreams;Fish;4
MTR9_0917;2014;Usstreams;Fish;5
SCLS_1031;2014;Usstreams;Fish;7
KSRF_0004;2013;Usstreams;Fish;8
VTRF_0003;2013;Usstreams;Fish;8
FW08ND022;2008;Usstreams;Fish;10
FW08MS048;2009;Usstreams;Fish;26
PARO_1052;2013;Usstreams;Fish;19
FW08MI033;2008;Usstreams;Fish;24
MNR9_0903;2013;Usstreams;Fish;12
FW08MN033;2008;Usstreams;Fish;19
TXR9_0910;2013;Usstreams;Fish;11
FW08MD020;2008;Usstreams;Fish;17
NDR9_0910;2013;Usstreams;Fish;1
MTS9_0940;2014;Usstreams;Fish;7
IDRF_0101;2014;Usstreams;Fish;6
MORM_1007;2014;Usstreams;Fish;12
FW08SD057;2008;Usstreams;Fish;6
FW08WI083;2009;Usstreams;Fish;3
FW08CT009;2008;Usstreams;Fish;8
ORR9_0911;2013;Usstreams;Fish;15
FW08AR320;2009;Usstreams;Fish;3
INS9_0924;2014;Usstreams;Fish;2
MNR9_0911;2013;Usstreams;Fish;12
SCS9_0921;2014;Usstreams;Fish;10
FW08RWI9304;2009;Usstreams;Fish;16
FW08OH005;2008;Usstreams;Fish;22
FW08OK010;2008;Usstreams;Fish;9
FW08IA048;2008;Usstreams;Fish;1
FW08AZ098;2009;Usstreams;Fish;1
UTRO_1037;2014;Usstreams;Fish;1
NVRO_1027;2013;Usstreams;Fish;1
FW08RVA9215;2009;Usstreams;Fish;24
FW08CO083;2009;Usstreams;Fish;3
VTRS_1010;2013;Usstreams;Fish;2
FW08SC026;2009;Usstreams;Fish;24
WIS9_0933;2013;Usstreams;Fish;3
FW08AL007;2009;Usstreams;Fish;4
FW08RMS9252;2009;Usstreams;Fish;17
FW08NC036;2009;Usstreams;Fish;18
MDSS_1095;2014;Usstreams;Fish;3
NMR9_0905;2014;Usstreams;Fish;3
FW08CT024;2009;Usstreams;Fish;9
FLLS_1047;2014;Usstreams;Fish;15
LARO_1020;2013;Usstreams;Fish;18
MERM_1003;2014;Usstreams;Fish;9
VARF_0008;2014;Usstreams;Fish;10
KSRS_1313;2013;Usstreams;Fish;9
WILS_1087;2013;Usstreams;Fish;12
ORRF_0104;2013;Usstreams;Fish;5
FW08WY043;2008;Usstreams;Fish;9
FW08ND005;2008;Usstreams;Fish;8
GAS9_0914;2013;Usstreams;Fish;13
FW08ND024;2008;Usstreams;Fish;13
NDLS_1059;2013;Usstreams;Fish;1
ORS9_0931;2014;Usstreams;Fish;1
KYRO_1029;2013;Usstreams;Fish;33
FW08MN009;2009;Usstreams;Fish;2
MNRF_0004;2014;Usstreams;Fish;2
WISS_1168;2013;Usstreams;Fish;2
FW08KY020;2009;Usstreams;Fish;4
ORR9_0910;2013;Usstreams;Fish;2
VTRS_1008;2013;Usstreams;Fish;2
WYRO_1034;2014;Usstreams;Fish;2
WAS9_0919;2013;Usstreams;Fish;2
FW08RTX10341;2009;Usstreams;Fish;21
FW08VA032;2009;Usstreams;Fish;22
LAR9_0902;2014;Usstreams;Fish;19
FW08DE009;2009;Usstreams;Fish;17
FW08KS009;2009;Usstreams;Fish;15
FW08AL051;2009;Usstreams;Fish;5
FW08OH050;2009;Usstreams;Fish;11
FW08WY075;2009;Usstreams;Fish;4
FW08RI011;2009;Usstreams;Fish;9
WIRO_1058;2014;Usstreams;Fish;14
FW08RFL9037;2009;Usstreams;Fish;8
WIR9_0907;2014;Usstreams;Fish;11
MIR9_0907;2014;Usstreams;Fish;11
OKLS_1203;2014;Usstreams;Fish;9
GARM_1003;2014;Usstreams;Fish;10
ORRF_0109;2014;Usstreams;Fish;5
TXRM_1011;2013;Usstreams;Fish;8
FW08KS043;2008;Usstreams;Fish;20
MTS9_0944;2013;Usstreams;Fish;7
ORRF_0102;2013;Usstreams;Fish;6
FW08NE045;2008;Usstreams;Fish;10
FW08KS033;2008;Usstreams;Fish;14
ORS9_0935;2014;Usstreams;Fish;1
AZLS_1054;2014;Usstreams;Fish;1
MIRO_1025;2014;Usstreams;Fish;11
FW08WV013;2008;Usstreams;Fish;22
FW08NH009;2008;Usstreams;Fish;12
TXRF_0005;2013;Usstreams;Fish;9
MDS9_0916;2014;Usstreams;Fish;6
WYRF_0006;2013;Usstreams;Fish;2
NDS9_0943;2013;Usstreams;Fish;1
FW08FL006;2009;Usstreams;Fish;10
FW08OH038;2008;Usstreams;Fish;18
FW08PA006;2009;Usstreams;Fish;11
FW08TN011;2008;Usstreams;Fish;28
FW08OH028;2008;Usstreams;Fish;26
MERF_0003;2014;Usstreams;Fish;8
MNLS_1094;2013;Usstreams;Fish;6
MTLS_1164;2014;Usstreams;Fish;4
FW08MI029;2009;Usstreams;Fish;6
OHRO_1032;2013;Usstreams;Fish;18
FW08RME94;2009;Usstreams;Fish;8
FW08VT012;2009;Usstreams;Fish;2
NCS9_0923;2013;Usstreams;Fish;10
FW08OR043;2008;Usstreams;Fish;1
FW08CO085;2009;Usstreams;Fish;1
UTS9_0932;2014;Usstreams;Fish;1
WYS9_0935;2013;Usstreams;Fish;1
FW08SC014;2009;Usstreams;Fish;30
FW08WI018;2009;Usstreams;Fish;2
FW08KY004;2009;Usstreams;Fish;22
FW08RWV9001;2009;Usstreams;Fish;24
FW08MI015;2009;Usstreams;Fish;23
FW08RNY9003;2009;Usstreams;Fish;22
MSLS_1037;2014;Usstreams;Fish;25
GAR9_0906;2014;Usstreams;Fish;22
MSR9_0902;2014;Usstreams;Fish;20
FW08WY004;2009;Usstreams;Fish;4
FW08WY071;2009;Usstreams;Fish;10
ILLS_1076;2014;Usstreams;Fish;12
OHS9_0920;2013;Usstreams;Fish;12
FW08OR028;2009;Usstreams;Fish;7
DER9_0902;2014;Usstreams;Fish;8
IDRO_1055;2014;Usstreams;Fish;5
RIRO_1002;2014;Usstreams;Fish;10
NYRO_1054;2013;Usstreams;Fish;12
FW08MN018;2008;Usstreams;Fish;18
IDRO_1047;2013;Usstreams;Fish;5
IDR9_0910;2013;Usstreams;Fish;5
MORF_0007;2013;Usstreams;Fish;8
FW08TX014;2008;Usstreams;Fish;11
FW08OR006;2008;Usstreams;Fish;6
FW08RGA9007;2009;Usstreams;Fish;2
FW08VT015;2009;Usstreams;Fish;2
MTS9_0943;2014;Usstreams;Fish;2
FW08KS028;2009;Usstreams;Fish;24
FW08TN015;2008;Usstreams;Fish;37
GARM_1006;2014;Usstreams;Fish;2
FW08WV018;2009;Usstreams;Fish;22
NMRO_1030;2014;Usstreams;Fish;2
WIRF_0001;2014;Usstreams;Fish;19
NYSS_1245;2013;Usstreams;Fish;3
FW08WV024;2009;Usstreams;Fish;5
FW08MS064;2009;Usstreams;Fish;19
FW08VA039;2009;Usstreams;Fish;18
WALS_1069;2013;Usstreams;Fish;3
SCLS_1033;2014;Usstreams;Fish;19
FW08CT021;2009;Usstreams;Fish;6
FW08KS010;2009;Usstreams;Fish;9
OKRF_0005;2014;Usstreams;Fish;14
INRF_0002;2013;Usstreams;Fish;16
NMRO_1028;2014;Usstreams;Fish;5
VTS9_0910;2013;Usstreams;Fish;3
TXSS_1224;2014;Usstreams;Fish;11
PAS9_0914;2014;Usstreams;Fish;4
NYR9_0905;2014;Usstreams;Fish;11
FW08OR059;2008;Usstreams;Fish;3
CTRO_1020;2014;Usstreams;Fish;7
COR9_0902;2014;Usstreams;Fish;4
NYRF_0006;2014;Usstreams;Fish;5
OHRO_1033;2013;Usstreams;Fish;15
WARO_1044;2013;Usstreams;Fish;4
IDRO_1031;2013;Usstreams;Fish;5
TXRM_1004;2013;Usstreams;Fish;6
KYLS_1055;2013;Usstreams;Fish;8
FW08CA035;2008;Usstreams;Fish;8
FW08GA029;2009;Usstreams;Fish;20
GARF_0003;2014;Usstreams;Fish;6
FW08RME93;2009;Usstreams;Fish;9
FW08ID033;2009;Usstreams;Fish;3
INRF_0001;2013;Usstreams;Fish;20
MNR9_0910;2013;Usstreams;Fish;13
SCR9_0901;2014;Usstreams;Fish;12
FW08OR074;2009;Usstreams;Fish;2
FW08SD042;2009;Usstreams;Fish;23
ORRM_1010;2014;Usstreams;Fish;2
FW08NC055;2009;Usstreams;Fish;6
FW08RWY9906;2009;Usstreams;Fish;6
FW08MI048;2008;Usstreams;Fish;14
FW08OR004;2008;Usstreams;Fish;2
WIS9_0935;2013;Usstreams;Fish;4
FW08RND9138;2008;Usstreams;Fish;4
PAR9_0911;2013;Usstreams;Fish;26
FW08TX028;2008;Usstreams;Fish;16
FW08CO038;2008;Usstreams;Fish;1
FW08CA013;2008;Usstreams;Fish;2
FW08MN060;2009;Usstreams;Fish;2
FW08UT021;2008;Usstreams;Fish;2
UTS9_0931;2014;Usstreams;Fish;2
FW08NC044;2009;Usstreams;Fish;21
TXR9_0906;2014;Usstreams;Fish;19
FW08PA027;2009;Usstreams;Fish;5
FW08WI039;2009;Usstreams;Fish;14
FW08MD016;2009;Usstreams;Fish;16
NERO_1042;2014;Usstreams;Fish;3
FW08RVA9005;2009;Usstreams;Fish;17
FW08LA014;2008;Usstreams;Fish;28
MTS9_0941;2013;Usstreams;Fish;3
MNLS_1092;2014;Usstreams;Fish;11
TXRO_1082;2014;Usstreams;Fish;12
FW08VA020;2009;Usstreams;Fish;11
MARM_1003;2014;Usstreams;Fish;10
CTSS_1077;2013;Usstreams;Fish;4
FLS9_0919;2014;Usstreams;Fish;7
WVRF_0005;2014;Usstreams;Fish;6
CORM_1001;2014;Usstreams;Fish;5
VARS11_131;2013;Usstreams;Fish;15
VAR9_0902;2013;Usstreams;Fish;18
FW08ND036;2008;Usstreams;Fish;6
FW08SD043;2008;Usstreams;Fish;6
FW08MA013;2008;Usstreams;Fish;14
FW08DE014;2008;Usstreams;Fish;16
FW08ROR9099;2009;Usstreams;Fish;1
FW08WY040;2009;Usstreams;Fish;2
IARF_0003;2013;Usstreams;Fish;20
INS9_0921;2014;Usstreams;Fish;15
FW08KS058;2009;Usstreams;Fish;13
FW08AR025;2009;Usstreams;Fish;17
FW08VA019;2009;Usstreams;Fish;15
FW08AR084;2009;Usstreams;Fish;11
FLR9_0903;2014;Usstreams;Fish;15
FW08CT025;2009;Usstreams;Fish;9
FW08RMT9011;2009;Usstreams;Fish;11
FW08FL033;2009;Usstreams;Fish;12
FW08OR033;2009;Usstreams;Fish;6
IARF_0004;2013;Usstreams;Fish;15
FW08RMS9418;2009;Usstreams;Fish;11
GASS_1079;2013;Usstreams;Fish;12
MDS9_0914;2013;Usstreams;Fish;9
FW08TX045;2008;Usstreams;Fish;15
MDRO_1013;2014;Usstreams;Fish;17
FW08CT002;2009;Usstreams;Fish;12
FW08NY028;2008;Usstreams;Fish;20
NMRM_1002;2014;Usstreams;Fish;2
WARM_1001;2013;Usstreams;Fish;1
FW08AR122;2009;Usstreams;Fish;5
FW08KY040;2009;Usstreams;Fish;17
FW08MN036;2008;Usstreams;Fish;17
FW08PA035;2008;Usstreams;Fish;14
FW08TN035;2008;Usstreams;Fish;2
FW08MI003;2009;Usstreams;Fish;11
NDLS_1055;2013;Usstreams;Fish;1
NYR9_0908;2013;Usstreams;Fish;34
ORS9_0932;2013;Usstreams;Fish;1
IDRO_1046;2014;Usstreams;Fish;1
FW08CO125;2009;Usstreams;Fish;2
OKLS_1181;2013;Usstreams;Fish;30
FW08AR028;2009;Usstreams;Fish;28
FW08RTN9005;2009;Usstreams;Fish;25
LALS_1037;2014;Usstreams;Fish;25
FW08CO001;2008;Usstreams;Fish;2
FW08NY011;2009;Usstreams;Fish;4
WIRF_0006;2013;Usstreams;Fish;2
WYRM_1010;2014;Usstreams;Fish;3
IDRM_1001;2013;Usstreams;Fish;2
FW08WI019;2009;Usstreams;Fish;4
IAS9_0927;2014;Usstreams;Fish;15
GARO_1034;2014;Usstreams;Fish;18
TXRO_1085;2014;Usstreams;Fish;16
MDLS_1042;2014;Usstreams;Fish;14
GARO_1032;2014;Usstreams;Fish;17
FW08OK006;2009;Usstreams;Fish;11
OKRO_1103;2014;Usstreams;Fish;14
FW08KS029;2009;Usstreams;Fish;10
FW08VA045;2009;Usstreams;Fish;6
FW08ID029;2009;Usstreams;Fish;6
MTLS_1130;2013;Usstreams;Fish;4
FW08NY053;2009;Usstreams;Fish;7
MOS9_0938;2014;Usstreams;Fish;13
ORRM_1008;2013;Usstreams;Fish;3
OKRF_0003;2014;Usstreams;Fish;8
FW08ME002;2008;Usstreams;Fish;3
MNS9_0939;2014;Usstreams;Fish;8
FLR9_0902;2014;Usstreams;Fish;12
