Ecoregions;YEAR;HabitatComplexity;InsectDensity;LocalInsectTotalLCBD;LocalInsectReplLCBD;LocalInsectRichLCBD;RegionalInsectTotalLBCD;RegionalInsectReplLBCD;RegionalInsectRichLBCD;Insect_RarefiedChaoRichness;ObservedInsectRichness;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
XER;2009;Poor;359;0.006818724;0.007914823;0.004865021;0.000777213;0.001033456;0.000353913;43.00;26;0.5464262;0.17;0.47;0;0.34
XER;2009;Poor;399;0.013599109;0.016103231;0.008804912;0.000778954;0.001038046;0.000350947;30.00;26;0.5607017;0.13;0.91;0;0.33
TPL;2014;Poor;26;0.011862082;0.013836149;0.006135621;0.000980674;0.000557117;0.00168354;37.00;10;72.85029487;2.32;1.99;0.39;38.9
TPL;2013;Poor;553;0.010603698;0.007329651;0.015683404;0.00095716;0.000874424;0.00110531;54.00;42;19.56055734;0.23;0.9;0;2.52
UMW;2014;Poor;354;0.007118597;0.007998273;0.005056092;0.000873018;0.0011449;0.000421846;39.00;27;0;0.36;0.85;0;2.73
NPL;2014;Poor;400;0.006678774;0.00721093;0.00543107;0.000768922;0.00086457;0.0006102;57.00;36;29.40689093;0.15;0.78;0;0.42
NPL;2014;Poor;111;0.005056785;0.003872245;0.008139732;0.00090841;0.001002955;0.000751518;42.00;18;0.42121338;0.03;0.03;0;0.16
NPL;2014;Poor;209;0.005497456;0.006596819;0.002636195;0.000938072;0.001266026;0.000393852;81.00;26;36.41344852;0.23;1.61;0;0.81
NAP;2013;Poor;341;0.007327003;0.007736931;0.006598908;0.000979484;0.000828479;0.001249882;59.00;45;5.675120456;0.96;1.69;0.13;21.91
NAP;2013;Poor;115;0.007525078;0.007586589;0.007415825;0.001145846;0.001211447;0.001028377;49.00;17;27.27027927;1.92;1.83;0.31;51.06
NAP;2013;Poor;42;0.007053699;0.008860401;0.003844723;0.001204802;0.00099054;0.001588471;14.00;13;1.653689495;2.22;2;0.29;39.29
NAP;2013;Poor;455;0.007465595;0.008175606;0.006204509;0.000995351;0.001123576;0.000765745;39.00;37;4.676007945;1.41;1.83;0.04;59.07
SAP;2013;Poor;91;0.007422173;0.008716124;0.005854744;0.001041559;0.001279305;0.000615838;36.00;23;0;0.57;1.27;0.12;6.33
SPL;2014;Poor;447;0.010979453;0.012679951;0.006695098;0.000845642;0.001092246;0.000436419;31.00;27;29.6635329;1.25;1.44;0.29;16.37
CPL;2014;Poor;21;0.008825578;0.008205509;0.009818071;0.001009168;0.00091229;0.001169929;19.00;13;0.380992278;0.58;1.24;0.07;13.49
CPL;2014;Poor;42;0.008019703;0.007641595;0.00862491;0.000917355;0.000977704;0.000817208;21.00;17;5.56321368;2.72;2;0.38;37.18
XER;2013;Poor;22;0.017537224;0.013566338;0.025423424;0.001298964;0.000817024;0.002161951;22.00;10;1.947302288;0.6;0.84;0.07;6.67
WMT;2013;Poor;432;0.008023031;0.008839335;0.006320037;0.001151083;0.001336646;0.000818804;48.00;40;0;0.09;1.11;0;0.59
XER;2014;Poor;419;0.011321504;0.01451186;0.006155071;0.000916328;0.000965606;0.000834552;100.00;44;0.017511822;0.56;0.66;0.05;1.15
WMT;2014;Poor;95;0.008660378;0.008089075;0.009588523;0.000970263;0.001265488;0.000480356;38.00;22;0;0.19;0.36;0.01;1.18
UMW;2014;Poor;47;0.009945382;0.011355319;0.00765478;0.001015066;0.000235571;0.002308588;9.00;7;24.15150186;1.46;1.51;0.22;21.6
UMW;2013;Poor;394;0.009367019;0.009440681;0.009213343;0.000986017;0.000580903;0.001711435;125.00;52;0.121260982;0.44;1.15;0.05;4.43
SAP;2014;Poor;345;0.008665951;0.011129364;0.004663861;0.000806516;0.000741094;0.000915078;56.00;44;0;0.21;1.96;0;4.38
SPL;2013;Poor;317;0.011711783;0.014603007;0.007226031;0.000996525;0.001249491;0.00054355;39.00;26;47.04552364;0.8;1.12;0.04;1.64
NPL;2008;Poor;818;0.012002976;0.014964834;0.007667813;0.001163156;0.001327891;0.000875426;71.00;39;29.20968;0.33;1.17;0;0.67
UMW;2014;Poor;193;0.007859875;0.009794536;0.003323835;0.000847329;0.001032504;0.000540042;43.00;35;0.251859597;0.22;0.62;0.01;2.24
NPL;2013;Poor;373;0.007836045;0.009382894;0.005562925;0.00102192;0.001303902;0.000516988;44.00;27;3.776716291;0.37;0.93;0.03;3.95
NPL;2013;Poor;177;0.008708539;0.009412593;0.007673921;0.001115158;0.001272162;0.000834017;25.00;19;59.89069006;0.35;1.3;0.01;0.93
WMT;2014;Poor;460;0.0054994;0.003740523;0.010077147;0.001002466;0.001294716;0.000517496;74.00;37;0;0;0.35;0;0.55
SAP;2013;Poor;84;0.007740259;0.010847672;0.003976087;0.001191515;0.001149236;0.001267221;23.00;15;0.013483803;0.83;1.32;0.05;14.4
SAP;2014;Poor;105;0.008236752;0.008328135;0.008090482;0.000846076;0.001049238;0.000508943;45.00;34;0;0.59;1.24;0;14.87
TPL;2014;Poor;462;0.013023834;0.001768776;0.03310974;0.000851518;0.000983113;0.000633144;22.00;20;85.42994504;1.05;1.34;0.06;6.09
WMT;2009;Poor;495;0.003544602;0.004155811;0.002488374;0.000813945;0.00107144;0.000388575;43.00;23;0.001502324;0.19;1.12;0;1.42
CPL;2014;Poor;121;0.00823525;0.008900808;0.006846745;0.000864496;0.001128559;0.0004263;35.00;27;0.002500813;0.2;0.7;0.01;4.14
XER;2009;Poor;718;0.008054918;0.009919321;0.004921229;0.000742724;0.000748979;0.00073239;17.00;17;0.006457028;10.82;4.04;0.92;441.81
CPL;2008;Poor;4;0.004929278;0.00211141;0.008359174;0.001583812;-0.000685301;0.005547118;2.00;2;18.5243958;1.37;1.49;0.16;15.11
TPL;2009;Poor;514;0.017206855;0.016065979;0.019474785;0.00065765;0.000321318;0.001213255;77.00;53;38.59012676;0.4;0.98;0.02;3.28
NPL;2008;Poor;673;0.00442022;0.005219774;0.003447005;0.001087033;0.000842631;0.001513913;50.00;48;43.86365;0.74;1.54;0.06;5.08
NPL;2009;Poor;147;0.011736628;0.01254936;0.009794465;0.00078012;0.000828152;0.000700775;21.00;17;9.412955;0.21;0.9;0;0.31
XER;2009;Poor;327;0.004112951;0.005341;0.001990763;0.000789685;0.000981349;0.000473065;27.00;21;0.7543403;0.46;1.29;0.02;4.02
NAP;2008;Poor;291;0.005944218;0.006345285;0.005400383;0.001159255;0.001454396;0.000643751;71.00;34;0.6680863;0.62;1.57;0.07;19.17
SAP;2009;Poor;401;0.004412352;0.00567643;0.002227901;0.000699212;0.000890282;0.000383575;44.00;28;0;0.65;2.07;0;5.82
NAP;2008;Poor;352;0.009343091;-0.00423296;0.027751776;0.001114627;0.001247402;0.000882716;51.00;39;42.82766;1.36;2.15;0.13;34.67
XER;2009;Poor;376;0.003781223;0.004651099;0.002277994;0.000811376;0.000840552;0.000763179;18.00;16;0.3169276;0.17;1.17;0;0.74
TPL;2008;Poor;445;0.009237467;0.010944268;0.005954366;0.00116564;0.001232648;0.001048603;48.00;42;69.031;2.57;1.5;0.39;62.03
SAP;2009;Poor;352;0.014372296;0.010064663;0.022619353;0.000759066;0.000635406;0.000963344;71.00;49;0;0.31;1.73;0;14.96
XER;2009;Poor;314;0.012196739;0.010844767;0.014785121;0.000794847;0.001070011;0.000340289;30.00;28;0;0.15;0.59;0.01;0.89
UMW;2014;Poor;90;0.009742941;0.011727467;0.006201333;0.000918514;0.000714745;0.001256654;49.00;13;37.91444443;1.83;1.55;0.34;31.35
TPL;2014;Poor;70;0.009300731;0.007616717;0.01230604;0.000867275;0.000922431;0.000775747;26.00;18;28.20462564;0.56;0.81;0;7.24
TPL;2014;Poor;207;0.009847483;0.01018159;0.00887829;0.000819282;0.000864426;0.000744369;100.00;40;77.05617172;1.62;1.43;0.16;15.18
TPL;2014;Poor;379;0.006769818;0.004990402;0.010237092;0.000837877;0.000731407;0.001014557;112.00;46;6.671689719;0.43;1.14;0.01;2.67
SAP;2013;Poor;61;0.012771785;0.014442918;0.010179013;0.001079293;0.001284358;0.000712092;29.00;21;14.30006993;1.76;1.93;0.24;40.64
SAP;2013;Poor;1;0.012651117;0.01720265;0.005589385;0.001434865;-0.000728909;0.00530943;1.00;1;0;0.01;0.32;0;3.22
CPL;2014;Poor;323;0.008324052;0.01055829;0.003085616;0.000851779;0.001102974;0.000434936;62.00;29;5.39323036;1.22;1.66;0.09;18.25
NPL;2013;Poor;450;0.00899064;0.006807248;0.01219917;0.001100393;0.001448571;0.000476929;67.00;27;7.100009172;0.21;0.82;0.01;0.78
TPL;2013;Poor;56;0.007117514;0.007272938;0.006841457;0.000998691;0.00084029;0.001282331;20.00;16;54.38176849;1.46;1.89;0.1;22.99
SPL;2014;Poor;286;0.010019418;0.012167589;0.004607161;0.000863108;0.00110947;0.000454285;39.00;31;33.04734048;0.55;1.25;0.05;3.14
NAP;2013;Poor;426;0.007960198;0.009328736;0.006302417;0.001208981;0.001376911;0.000908276;63.00;42;0;0;0;0;1.25
CPL;2014;Poor;67;0.007630387;0.008911479;0.005579849;0.000907138;0.001206411;0.000410513;29.00;26;24.83174626;1.28;1.62;0.06;18.18
NPL;2014;Poor;152;0.007889055;0.009572461;0.005194567;0.00087334;0.000831743;0.000942368;44.00;16;17.02288928;0.74;0.69;0.06;3.53
NPL;2014;Poor;486;0.008705176;0.011078863;0.004905811;0.000770529;0.000907396;0.000543405;29.00;23;0.099393342;0.22;0.6;0.02;0.18
NPL;2013;Poor;487;0.007885098;0.01124307;0.003817411;0.000974998;0.001095741;0.000758789;29.00;21;0.864252947;0.17;0.3;0.01;0.21
SAP;2014;Poor;241;0.008055468;0.009052895;0.006458967;0.000811905;0.000918652;0.000634766;56.00;37;5.246361925;2.34;1.99;0.4;48.49
SAP;2014;Poor;275;0.007880474;0.006092433;0.010742443;0.000866163;0.000773281;0.001020295;66.00;47;0;0.52;2.77;0;8.85
SAP;2014;Poor;260;0.008101356;0.010055255;0.004973913;0.000840534;0.000982889;0.000604306;49.00;37;0;0.96;4.35;0.14;52.53
SPL;2014;Poor;320;0.007623382;0.009581582;0.004489052;0.000890805;0.001168051;0.000430732;57.00;25;17.3749815;0.68;1.89;0.08;7.42
SPL;2014;Poor;493;0.007803379;0.00958714;0.00494826;0.000973373;0.000745243;0.00135194;24.00;12;40.07501842;0.68;1.63;0.13;11.15
XER;2014;Poor;178;0.012364299;0.01581051;0.006783538;0.000843834;0.001092747;0.000430779;45.00;28;0.700850079;0.21;0.88;0.01;1.02
XER;2013;Poor;362;0.009805847;0.012662889;0.003845411;0.000959194;0.001146788;0.000623277;36.00;24;72.99142978;0.66;1.06;0.02;2.99
WMT;2013;Poor;419;0.00826087;0.010292441;0.004022553;0.001126919;0.001493921;0.000469747;40.00;30;0;0.44;0.77;0;3.18
SPL;2009;Poor;416;0.006958461;0.003694801;0.012444019;0.000710099;0.000912147;0.000376326;29.00;28;0.66783172;0.13;0.58;0.01;1.68
CPL;2009;Poor;102;0.006724081;0.007935613;0.004947901;0.000873746;0.00047541;0.001531777;13.00;9;5.753867;6.03;2.58;1.8;152.47
NPL;2013;Poor;282;0.007673285;0.010255368;0.003878873;0.000990779;0.00124795;0.000530277;33.00;27;49.57533468;0.26;1.43;0;0.77
CPL;2009;Poor;18;0.006004683;0.006345154;0.005361588;0.00087064;0.000246999;0.001900864;16.00;7;81.64699269;0.55;1.88;0.03;1.86
WMT;2009;Poor;303;0.013195604;0.010016749;0.019180631;0.000753488;0.000720483;0.000808011;78.00;45;0;0.03;0.18;0;0.08
UMW;2009;Poor;34;0.010691946;0.011515034;0.009142266;0.000879307;0.000583868;0.001367357;16.00;10;36.15731346;1.69;1.54;0.29;29.16
SPL;2009;Poor;77;0.00400195;0.004737534;0.002730789;0.000890284;0.000957097;0.000779913;24.00;15;27.61312;0.71;1.44;0.13;9.27
SPL;2009;Poor;230;0.004166568;0.004540898;0.00351969;0.000779781;0.000782493;0.000775303;48.00;16;23.72049;0.74;1.56;0.1;7.06
WMT;2008;Poor;449;0.005790374;0.004887381;0.007014804;0.001423981;0.001590772;0.001132659;54.00;46;0;0.11;1.39;0;0.46
XER;2013;Poor;374;0.014973998;0.019743139;0.00749931;0.000944611;0.001137233;0.000599692;32.00;32;11.37814851;0.44;1.12;0.03;11.11
SAP;2013;Poor;117;0.014438322;0.013454709;0.016321469;0.001135889;0.001510233;0.000465569;40.00;30;0;0.24;1.74;0;2.16
SAP;2013;Poor;387;0.007805226;0.005902944;0.010766504;0.00101535;0.000958797;0.001116617;69.00;43;0;0.13;0.76;0;2.36
SAP;2009;Poor;350;0.005986154;0.007318907;0.003468804;0.000670269;0.000666226;0.000676947;68.00;40;2.515720236;3.32;2.37;0.51;54.67
XER;2008;Poor;326;0.01046086;0.008695771;0.011837295;0.001373874;0.001748114;0.000720215;29.00;23;0.416737329;0.21;0.68;0.01;0.77
TPL;2008;Poor;387;0.004493123;0.006007047;0.002650382;0.001187989;0.001544106;0.000565985;36.00;30;81.60363702;0.94;1.42;0.11;8.33
NPL;2009;Poor;800;0.009002744;0.003236589;0.020414052;0.000796523;0.00099081;0.00047557;46.00;36;0;0.02;0.16;0;0.75
NAP;2008;Poor;118;0.010223298;0.01285879;0.006365825;0.001101124;0.001390079;0.000596426;56.00;31;0.1281091;0.61;1.31;0.04;4.69
XER;2008;Poor;440;0.007112868;0.009232977;0.00423807;0.001102996;0.001335669;0.000696601;63.00;35;0.1130145;0.14;0.71;0;0.11
SAP;2008;Poor;433;0.006788542;0.009321592;0.003353809;0.001105016;0.00137641;0.000630992;38.00;32;47.01062;4.61;2.08;1.1;115.09
SPL;2009;Poor;184;0.004276007;0.004761176;0.003437587;0.000872614;0.000970089;0.000711591;18.00;16;0;0.44;1.35;0.06;4.23
XER;2009;Poor;157;0.006586162;0.008001408;0.004063607;0.000750693;0.000976496;0.000377678;62.00;30;0.4848106;0.25;0.84;0.02;1.71
NPL;2009;Poor;272;0.01511403;0.017616993;0.010322051;0.000738463;0.000708892;0.000787313;51.00;44;0;0.09;0.79;0;0.55
WMT;2014;Poor;395;0.010279432;0.009189063;0.013442425;0.00091467;0.001168852;0.00049287;40.00;35;0.001128196;0.16;1.28;0;0.35
WMT;2013;Poor;282;0.016286867;0.017888764;0.013776209;0.001097011;0.001404007;0.000547288;45.00;33;0.751206932;0.26;0.52;0.02;0.63
XER;2013;Poor;267;0.014184403;0.018809851;0.006934923;0.001041128;0.001168977;0.000812195;24.00;20;12.25005016;0.22;1;0.01;2.06
UMW;2014;Poor;316;0.009312303;0.000488077;0.026506718;0.000891435;0.001139257;0.000480188;28.00;23;47.50293903;3.55;2.04;0.68;74.07
CPL;2014;Poor;458;0.006970176;0.005922063;0.0094276;0.000789288;0.000961314;0.000503821;26.00;24;7.415078708;1.52;1.83;0.02;11.37
TPL;2013;Poor;435;0.007996172;0.010332137;0.004563435;0.000942129;0.000808537;0.001181345;23.00;17;91.9040584;0.58;1.4;0.01;3.9
TPL;2013;Poor;106;0.00679259;0.007717719;0.0054331;0.001206334;0.001174228;0.001263824;27.00;15;66.00362938;0.71;1.44;0.07;4.68
NAP;2013;Poor;443;0.007465195;0.007767037;0.007021633;0.001051237;0.000296566;0.00240259;90.00;66;0.020807409;0.57;0.83;0.03;7.52
XER;2014;Poor;142;0.004768039;0.00411865;0.006458174;0.000810621;0.001001291;0.000494215;64.00;24;0.493502439;0.17;0.74;0;1.69
WMT;2013;Poor;358;0.007952332;0.011301673;0.003895102;0.001075259;0.000909814;0.001371513;56.00;48;8.612709816;0.44;1.78;0.02;4.4
TPL;2014;Poor;19;0.008256862;0.008661396;0.007609356;0.001012745;0.000234117;0.00230483;15.00;7;14.97989404;0.32;0.78;0.03;2.09
TPL;2013;Poor;32;0.013661389;0.013548455;0.013885675;0.001197224;0.000967601;0.001608398;23.00;13;57.66348774;0.21;1.13;0;1.27
SAP;2014;Poor;10;0.008394005;0.009881643;0.006012867;0.001015266;0.000246217;0.002291456;18.00;7;0.808703433;2.07;2.48;0.32;57.32
SAP;2014;Poor;414;0.010362434;0.006226236;0.016982904;0.000829129;0.001044762;0.000471301;65.00;32;0.233560473;1.16;2.09;0.01;16.97
CPL;2014;Poor;4;0.017708676;-0.007576445;0.058655163;0.001072108;-0.000138131;0.003080425;9.00;4;79.30852682;2.31;2.12;0.24;45.45
WMT;2013;Poor;435;0.007524847;0.007992677;0.006548846;0.001120413;0.001137325;0.00109013;76.00;44;0;0.43;1.2;0.01;3.02
WMT;2014;Poor;441;0.012371125;0.008293913;0.018973724;0.000917835;0.001047404;0.000702824;61.00;41;0;3.19;2.24;0.06;71.77
UMW;2014;Poor;134;0.009568727;0.007090262;0.013595272;0.000858562;0.001103185;0.000452626;35.00;25;22.61749365;1.4;1.48;0.22;20.82
UMW;2014;Poor;277;0.008963618;0.010490126;0.006483635;0.000818971;0.000843418;0.000778404;55.00;41;2.798770562;0.63;1.24;0.06;5.45
UMW;2013;Poor;310;0.008836781;0.007061415;0.012540596;0.001068392;0.000827587;0.001499589;67.00;50;2.723210655;0.42;1.18;0.02;3.23
NAP;2014;Poor;121;0.011159981;0.000842611;0.029572475;0.000875064;0.000770975;0.001047795;24.00;15;0.94337074;4.52;2.73;0.71;133.64
CPL;2014;Poor;342;0.007821115;0.007818269;0.007826195;0.001050066;0.000992283;0.001145954;14.00;13;2.100451246;0.55;0.76;0.01;14.01
XER;2009;Poor;429;0.006212722;0.007085099;0.004564947;0.000839292;0.001125505;0.000366484;40.00;32;0.05264758;0.15;0.78;0;1.82
WMT;2008;Poor;233;0.007529711;0.008995798;0.005541745;0.001268178;0.001639862;0.000618982;52.00;35;0.01503669;0.24;1.79;0;3.29
NPL;2008;Poor;284;0.009027235;0.008202315;0.010614004;0.001115202;0.001269649;0.000845439;43.00;23;0.4534722;0.12;13.35;0;2369.28
WMT;2014;Poor;301;0.008273784;0.009997129;0.005474017;0.001084633;0.000784567;0.001582575;14.00;10;0;0.52;1.25;0;1.34
SPL;2014;Poor;15;0.013107819;0.016938722;0.005881298;0.001079916;6.87E-05;0.002757923;8.00;5;0.459098609;7.56;3.83;1.7;248.87
WMT;2014;Poor;479;0.011291655;0.012728148;0.008581891;0.001041525;0.001401438;0.000444271;37.00;22;0;0;0;0;0.29
WMT;2009;Poor;61;0.006585649;0.008182145;0.003570134;0.000865608;0.000844884;0.000899842;18.00;14;0;0.29;0.96;0;0.76
NPL;2008;Poor;335;0.004845118;0.0073088;0.001846335;0.00134661;0.001817441;0.000524243;63.00;27;0.3524804;0.14;0.52;0.01;1.26
WMT;2009;Poor;284;0.004901923;0.004375851;0.005811027;0.000825723;0.001051818;0.000452226;33.00;21;0.1987385;0.17;1.18;0;0.73
NAP;2009;Poor;49;0.003510424;0.004290713;0.002162009;0.00080567;0.001014543;0.000460622;45.00;21;3.694337;1.04;1.59;0.1;21.95
XER;2009;Poor;73;0.007729133;0.00781231;0.00760719;0.000910192;0.000340868;0.001850684;11.00;7;1.318813;0.23;1.01;0.02;3.32
SAP;2009;Poor;405;0.007047413;0.008151061;0.005080255;0.000679297;0.000850418;0.000396615;44.00;29;0;0.54;2.42;0;22.22
UMW;2008;Poor;62;0.00989683;0.004688445;0.020162417;0.001322317;0.001555856;0.00091441;33.00;21;36.11936;1.68;1.54;0.29;29.03
UMW;2009;Poor;90;0.006303749;0.004530056;0.009465205;0.000756283;0.000987968;0.000373553;50.00;25;21.67471;1.18;1.65;0.14;18.92
NPL;2008;Poor;697;0.006687774;0.007655287;0.004860302;0.001233434;0.001525341;0.00072358;74.00;37;1.066886;0.35;0.91;0.03;3.04
TPL;2014;Poor;345;0.007119812;0.006378122;0.008565031;0.000826703;0.000816909;0.000842955;106.00;42;0;0.27;0.96;0;1.91
UMW;2013;Poor;338;0.009776425;0.01279741;0.004612392;0.001112859;0.001063076;0.001202002;22.00;16;0;24.12;8.68;1.34;634.34
TPL;2014;Poor;1;0.006692609;0.006935537;0.006123035;0.001148557;-0.00063679;0.004111229;1.00;1;32.2485049;1.25;1.24;0.21;20.7
NPL;2014;Poor;253;0.009445649;0.005396901;0.018938419;0.000856942;0.001090207;0.000469851;34.00;24;2.719757393;0.1;0.54;0;0.21
TPL;2013;Poor;341;0.007693329;0.009918771;0.004423008;0.001011943;0.001238329;0.000606564;38.00;33;80.18814996;0.91;1.68;0.09;11.13
XER;2014;Poor;414;0.006220225;0.001547133;0.018382658;0.000838531;0.001064358;0.000502466;51.00;23;0;0.08;0.48;0;0.16
WMT;2013;Poor;372;0.00846089;0.012401411;0.003687531;0.001030689;0.001276788;0.00059001;64.00;24;0;0.13;0.92;0;2.14
WMT;2013;Poor;456;0.007841981;0.011136548;0.0038511;0.001281878;0.001619841;0.000676704;26.00;20;0;0.21;0.44;0;1.21
XER;2013;Poor;131;0.0181792;0.020540472;0.013489703;0.001125494;0.001225209;0.000946939;31.00;18;2.412749698;0.7;0.87;0.09;8.65
NPL;2013;Poor;65;0.008705119;0.011246596;0.003403022;0.001101088;0.000772501;0.001689473;15.00;13;0.107145731;0.1;0.9;0;0.16
SAP;2009;Poor;127;0.013007022;0.015703502;0.006563316;0.000754406;0.000855143;0.000587994;29.00;19;0;24.61;6.53;4.92;346.96
XER;2014;Poor;226;0.004802451;0.005529859;0.002909263;0.000794923;0.000992549;0.000466975;37.00;31;0;0.12;0.68;0;0.03
CPL;2013;Poor;250;0.012986442;0.014798131;0.009517924;0.001019144;0.001301801;0.000513004;46.00;28;0;0.1;1.2;0;5.72
WMT;2014;Poor;158;0.012300309;0.015821824;0.005657411;0.000911422;0.000842969;0.001025015;24.00;15;2.385469351;0.56;1.4;0.06;3.25
TPL;2009;Poor;42;0.012900522;0.015450687;0.008099168;0.000709159;0.000824574;0.000518498;36.00;21;54.35382378;0.83;1.05;0;10.52
XER;2008;Poor;367;0.007917392;0.007933082;0.007886467;0.001317978;0.001185815;0.001548818;69.00;51;0.01751182;0.55;0.66;0.04;1.15
WMT;2008;Poor;190;0.009756953;0.012898671;0.003564713;0.001508011;0.001635589;0.001285178;29.00;17;0;0.12;1.6;0;0.34
TPL;2013;Poor;54;0.012245164;0.01217918;0.012347538;0.001154276;0.000876554;0.001651578;16.00;13;23.04222418;0.58;0.95;0.08;7.76
SPL;2014;Poor;258;0.009293185;0.012739471;0.003776999;0.000980071;0.000927054;0.001068048;14.00;14;0;0.43;1.25;0.2;1.53
SAP;2013;Poor;337;0.00649764;0.007726242;0.004315456;0.000920154;0.001122179;0.000558397;31.00;27;1.623036649;0.46;0.66;0.03;16.8
CPL;2014;Poor;228;0.009377817;0.010896522;0.006209454;0.000819108;0.000891146;0.000699566;49.00;39;12.49579284;1.32;1.62;0.07;12.54
SAP;2013;Poor;491;0.012020609;-0.002017289;0.033873372;0.001011911;0.000956986;0.001110261;60.00;43;0;0.17;1.05;0;2.89
WMT;2013;Poor;469;0.008086219;0.009426959;0.005999092;0.001090189;0.001184225;0.000921804;81.00;41;0.186283346;0.61;0.98;0.06;5.36
SAP;2009;Poor;20;0.007363625;0.009738237;0.002878377;0.000869396;0.00046592;0.001535917;15.00;9;8.707361149;1.3;1.71;0.18;24.35
CPL;2008;Poor;19;0.009071984;0.010500647;0.007957899;0.001443603;0.000722241;0.002703557;13.00;10;11.75496689;0;0;0;28.72
TPL;2008;Poor;566;0.010450356;0.005162896;0.014573571;0.001168839;0.001323354;0.000898957;30.00;22;87.51936943;0.79;1.34;0.05;5.54
TPL;2008;Poor;442;0.01020014;0.015373437;0.00616595;0.001208829;0.00147877;0.000737342;70.00;37;15.22619851;0.49;1.28;0;2.7
TPL;2008;Poor;424;0.004202116;0.005129049;0.003073856;0.001127924;0.001369039;0.000706784;29.00;25;78.41104098;0.92;1.55;0.06;3.54
WMT;2009;Poor;351;0.007980831;0.008069256;0.007805837;0.000769066;0.00101943;0.000355477;47.00;26;0;0.07;0.15;0;0.12
SAP;2009;Poor;95;0.003690627;0.004580433;0.002152957;0.000718925;0.000658422;0.000818874;26.00;16;0;0.42;2.16;0.02;18.53
SPL;2009;Poor;337;0.00673554;0.009124961;0.003232503;0.000824789;0.001076978;0.000408187;28.00;22;0.1397402;0.24;1.06;0;2.32
UMW;2009;Poor;86;0.006914304;0.007928225;0.005427835;0.000698485;0.000818877;0.000499604;79.00;35;2.71104;0.6;1.24;0.05;5.45
XER;2009;Poor;40;0.008652468;0.011698659;0.003222893;0.000810816;0.000516185;0.00129753;21.00;11;1.000661;0.36;0.85;0.03;3.43
SAP;2008;Poor;163;0.009899599;0.009737863;0.010218377;0.001285101;0.001416489;0.001055614;76.00;43;0;0.25;1.51;0;11.31
UMW;2009;Poor;190;0.006898298;0.00535154;0.009655262;0.000715182;0.00089873;0.000411969;60.00;24;4.873866;0.69;0.84;0.01;7.13
SAP;2009;Poor;485;0.012288571;0.015081609;0.006941239;0.000757663;0.000725308;0.000811112;65.00;45;0;0.51;1.91;0;9.09
XER;2013;Poor;286;0.01483496;0.019059612;0.008213649;0.001067672;0.00134302;0.000574621;41.00;33;0.086574368;0.07;0.93;0;0.09
XER;2013;Poor;2;0.013703103;0.017715333;0.007414724;0.001354252;-0.000647944;0.004939487;3.00;2;17.00294454;0.52;1.06;0.06;8.01
UMW;2014;Poor;200;0.007299359;0.007214848;0.007464032;0.000879978;0.000978469;0.000716539;61.00;40;0;0.02;0.03;0.01;0.68
TPL;2014;Poor;18;0.008154785;0.01033686;0.00303865;0.001014975;0.000632816;0.001649143;44.00;10;64.32646596;0.81;1.44;0.08;6.26
WMT;2014;Poor;382;0.006934266;0.004617207;0.012964765;0.001383719;0.000912457;0.00071229;45.00;40;0;0.05;0.88;0;0.14
NPL;2013;Poor;439;0.010189135;0.010485389;0.009753785;0.001052311;0.001304609;0.000600534;39.00;34;0;0.11;0.8;0;0.29
SAP;2013;Poor;105;0.008668997;0.010454684;0.005497346;0.000912542;0.001105933;0.000566246;41.00;29;11.47852341;0.51;1.35;0.02;17.62
TPL;2014;Poor;235;0.011597774;0.013565842;0.006639283;0.000902004;0.00107756;0.00061068;32.00;20;0;0.35;1.71;0;6.15
NAP;2014;Poor;417;0.012189359;0.006719072;0.025971588;0.000806106;0.000689476;0.000999647;64.00;46;0.117864179;1.4;1.62;0.34;27.44
SAP;2014;Poor;44;0.00878555;0.011769922;0.004008713;0.001003933;0.00103947;0.00094496;23.00;15;1.050966154;1.63;1.59;0.24;23.41
SPL;2013;Poor;409;0.015447504;0.014557349;0.017215356;0.001053072;0.001319083;0.000576738;57.00;32;7.448314584;0.53;1.23;0.07;6.53
SPL;2014;Poor;237;0.01239969;0.015746555;0.006979808;0.000988803;0.000784938;0.001327103;20.00;12;6.259638451;9.64;4.02;2.86;217.3
UMW;2014;Poor;51;0.009598216;0.009221604;0.010210064;0.000847782;0.000716822;0.001065103;24.00;15;52.52514003;1.46;1.41;0.14;13.74
UMW;2014;Poor;54;0.009553834;0.010484045;0.008042602;0.000945525;0.000685557;0.001376927;16.00;12;38.02471836;1.85;1.56;0.35;32
UMW;2014;Poor;159;0.008025656;0.006917549;0.009825901;0.000896478;0.001193753;0.000403167;39.00;29;29.74081743;0.76;1.26;0.08;10.63
SAP;2013;Poor;365;0.010133603;0.004310595;0.019198266;0.001000891;0.001269744;0.000519468;37.00;28;0;0.67;1.94;0.01;6.77
WMT;2008;Poor;420;0.008773068;0.011017003;0.007023225;0.001449044;0.001843104;0.000760768;22.00;22;0.00415441;0.61;1.48;0.05;3.23
XER;2009;Poor;149;0.00981394;0.004143057;0.019345557;0.0008362;0.000781768;0.000926118;20.00;14;0.888283704;0.24;0.73;0.01;1.82
CPL;2008;Poor;6;0.004420566;0.006057322;0.002428314;0.001635732;-0.000898145;0.006061482;1.00;1;29.26312716;1.52;1.45;0.26;29.13
